Id,Name,Alignment,Gender,Eyecolor,Race,Haircolor,Publisher,Skincolor,Height,Weight,Number,Intelligence,Strength,Speed,Durability,Power,Combat,Total
1,A-Bomb,good,Male,yellow,Human,No Hair,Marvel Comics,-,203,441,1011429,38,100,17,80,17,64,316
2,Abe Sapien,good,Male,blue,Icthyo Sapien,No Hair,Dark Horse Comics,blue,191,65,1011430,88,14,35,42,35,85,299
3,Abin Sur,good,Male,blue,Ungaran,No Hair,DC Comics,red,185,90,1011431,50,90,53,64,84,65,406
4,Abomination,bad,Male,green,Human / Radiation,No Hair,Marvel Comics,-,203,441,1011432,63,80,53,90,55,95,436
5,Abraxas,bad,Male,blue,Cosmic Entity,Black,Marvel Comics,-,-99,-99,1011433,88,100,83,99,100,56,526
6,Absorbing Man,bad,Male,blue,Human,No Hair,Marvel Comics,-,193,122,1009148,-,-,-,-,-,-,-
7,Adam Monroe,good,Male,blue,-,Blond,NBC - Heroes,-,-99,-99,1011434,63,10,12,100,71,64,320
8,Adam Strange,good,Male,blue,Human,Blond,DC Comics,-,185,88,1011435,1,1,1,1,0,1,5
9,Agent 13,good,Female,blue,-,Blond,Marvel Comics,-,173,61,1011436,-,-,-,-,-,-,-
10,Agent Bob,good,Male,brown,Human,Brown,Marvel Comics,-,178,81,1011437,10,8,13,5,5,20,61
11,Agent Zero,good,Male,-,-,-,Marvel Comics,-,191,104,1009150,75,28,38,80,72,95,388
12,Air-Walker,bad,Male,blue,-,White,Marvel Comics,-,188,108,1011438,50,85,100,85,100,40,460
13,Ajax,bad,Male,brown,Cyborg,Black,Marvel Comics,-,193,90,1011439,-,-,-,-,-,-,-
14,Alan Scott,good,Male,blue,-,Blond,DC Comics,-,180,90,1011440,63,80,23,90,98,32,386
15,Alex Mercer,bad,Male,-,Human,-,Wildstorm,-,-99,-99,1011441,-,-,-,-,-,-,-
16,Alex Woolsly,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011442,1,1,1,1,0,1,5
17,Alfred Pennyworth,good,Male,blue,Human,Black,DC Comics,-,178,72,1011443,63,10,17,10,7,55,162
18,Alien,bad,Male,-,Xenomorph XX121,No Hair,Dark Horse Comics,black,244,169,1011444,-,-,-,-,-,-,-
19,Allan Quatermain,good,Male,-,-,-,Wildstorm,-,-99,-99,1011445,1,1,1,1,0,1,5
20,Amazo,bad,Male,red,Android,-,DC Comics,-,257,173,1011446,75,100,100,100,100,100,575
21,Ammo,bad,Male,brown,Human,Black,Marvel Comics,-,188,101,1011447,1,1,1,1,0,1,5
22,Ando Masahashi,good,Male,-,-,-,NBC - Heroes,-,-99,-99,1011448,1,1,1,1,0,1,5
23,Angel,good,Male,blue,-,Blond,Marvel Comics,-,183,68,1011449,63,13,46,64,17,42,245
24,Angel Dust,good,Female,yellow,Mutant,Black,Marvel Comics,-,165,57,1011450,-,-,-,-,-,-,-
25,Angel Salvadore,good,Female,brown,-,Black,Marvel Comics,-,163,54,1011451,38,10,28,28,46,60,210
26,Angela,bad,Female,-,-,-,Image Comics,-,-99,-99,1011452,1,1,1,1,0,1,5
27,Animal Man,good,Male,blue,Human,Blond,DC Comics,-,183,83,1011453,56,48,47,85,73,80,389
28,Annihilus,bad,Male,green,-,No Hair,Marvel Comics,-,180,90,1009154,75,80,47,56,59,64,381
29,Ant-Man,good,Male,blue,Human,Blond,Marvel Comics,-,211,122,1011454,100,10,23,28,32,32,225
30,Ant-Man II,good,Male,blue,Human,Blond,Marvel Comics,-,183,86,1011455,63,10,23,28,32,28,184
31,Anti-Monitor,bad,Male,yellow,God / Eternal,No Hair,DC Comics,-,61,-99,1011456,88,90,38,90,100,90,496
32,Anti-Spawn,bad,Male,-,-,-,Image Comics,-,-99,-99,1011457,1,1,1,1,0,1,5
33,Anti-Venom,-,Male,blue,Symbiote,Blond,Marvel Comics,-,229,358,1011458,75,60,65,90,85,84,459
34,Apocalypse,bad,Male,red,Mutant,Black,Marvel Comics,grey,213,135,1009156,100,100,33,100,100,60,493
35,Aquababy,good,Male,blue,-,Blond,DC Comics,-,-99,-99,1011459,10,16,12,14,37,14,103
