Id,Hero,Power
0,A-Bomb,Accelerated Healing
1,A-Bomb,Durability
2,A-Bomb,Longevity
3,A-Bomb,Super Strength
4,A-Bomb,Stamina
5,A-Bomb,Camouflage
6,A-Bomb,Self-Sustenance
7,Abe Sapien,Agility
8,Abe Sapien,Accelerated Healing
9,Abe Sapien,Cold Resistance
10,Abe Sapien,Durability
11,Abe Sapien,Underwater breathing
12,Abe Sapien,Marksmanship
13,Abe Sapien,Weapons Master
14,Abe Sapien,Longevity
15,Abe Sapien,Intelligence
16,Abe Sapien,Super Strength
17,Abe Sapien,Telepathy
18,Abe Sapien,Stamina
19,Abe Sapien,Immortality
20,Abe Sapien,Reflexes
21,Abe Sapien,Enhanced Sight
22,Abe Sapien,Sub-Mariner
23,Abin Sur,Lantern Power Ring
24,Abomination,Accelerated Healing
25,Abomination,Intelligence
26,Abomination,Super Strength
27,Abomination,Stamina
28,Abomination,Super Speed
29,Abomination,Invulnerability
30,Abomination,Animation
31,Abomination,Super Breath
32,Abraxas,Dimensional Awareness
33,Abraxas,Flight
34,Abraxas,Intelligence
35,Abraxas,Super Strength
36,Abraxas,Size Changing
37,Abraxas,Super Speed
38,Abraxas,Teleportation
39,Abraxas,Magic
40,Abraxas,Dimensional Travel
41,Abraxas,Immortality
42,Abraxas,Invulnerability
43,Abraxas,Molecular Manipulation
44,Abraxas,Energy Manipulation
45,Abraxas,Power Cosmic
46,Absorbing Man,Cold Resistance
47,Absorbing Man,Durability
48,Absorbing Man,Energy Absorption
49,Absorbing Man,Super Strength
50,Absorbing Man,Invulnerability
51,Absorbing Man,Elemental Transmogrification
52,Absorbing Man,Fire Resistance
53,Absorbing Man,Natural Armor
54,Absorbing Man,Molecular Manipulation
55,Absorbing Man,Heat Resistance
56,Absorbing Man,Matter Absorption
57,Adam Monroe,Accelerated Healing
58,Adam Monroe,Immortality
59,Adam Monroe,Regeneration
60,Adam Strange,Durability
61,Adam Strange,Stealth
62,Adam Strange,Flight
63,Adam Strange,Marksmanship
64,Adam Strange,Weapons Master
65,Adam Strange,Intelligence
66,Adam Strange,Super Speed
67,Adam Strange,Fire Resistance
68,Adam Strange,Enhanced Sight
69,Adam Strange,Power Suit
70,Agent Bob,Stealth
71,Agent Zero,Energy Absorption
72,Agent Zero,Longevity
73,Agent Zero,Super Strength
74,Agent Zero,Energy Blasts
75,Agent Zero,Energy Beams
76,Agent Zero,Power Suit
77,Air-Walker,Flight
78,Air-Walker,Super Strength
79,Air-Walker,Super Speed
80,Air-Walker,Self-Sustenance
81,Air-Walker,Molecular Manipulation
82,Air-Walker,Power Cosmic
83,Ajax,Agility
84,Ajax,Super Strength
85,Ajax,Super Speed
86,Ajax,Heat Generation
87,Ajax,Power Suit
88,Alan Scott,Flight
89,Alan Scott,Danger Sense
90,Alan Scott,Intelligence
91,Alan Scott,Telepathy
92,Alan Scott,Energy Blasts
93,Alan Scott,Super Speed
94,Alan Scott,Teleportation
95,Alan Scott,Energy Beams
96,Alan Scott,Phasing
97,Alan Scott,Force Fields
98,Alan Scott,Hypnokinesis
99,Alan Scott,Energy Manipulation
100,Alan Scott,Invisibility
101,Alex Mercer,Agility
102,Alex Mercer,Accelerated Healing
103,Alex Mercer,Stealth
104,Alex Mercer,Energy Absorption
105,Alex Mercer,Danger Sense
106,Alex Mercer,Marksmanship
107,Alex Mercer,Weapons Master
108,Alex Mercer,Longevity
109,Alex Mercer,Super Strength
110,Alex Mercer,Energy Blasts
111,Alex Mercer,Stamina
112,Alex Mercer,Super Speed
113,Alex Mercer,Enhanced Senses
114,Alex Mercer,Jump
115,Alex Mercer,Shapeshifting
116,Alex Mercer,Immortality
117,Alex Mercer,Invulnerability
118,Alex Mercer,Elasticity
119,Alex Mercer,Substance Secretion
120,Alex Mercer,Enhanced Hearing
121,Alex Mercer,Natural Armor
122,Alex Mercer,Adaptation
123,Alex Mercer,Gliding
124,Alex Mercer,Natural Weapons
125,Alex Mercer,Wallcrawling
126,Alex Mercer,Matter Absorption
127,Alex Mercer,Vision - Thermal
128,Alex Woolsly,Underwater breathing
129,Alien,Agility
130,Alien,Cold Resistance
131,Alien,Durability
132,Alien,Stealth
133,Alien,Super Strength
134,Alien,Super Speed
135,Alien,Enhanced Senses
